Quest Title,Type,Objectives,Rewards,Required for Kappa
Ambulances Again,Pickup,"Locate and obtain the ambulance paramedic's smartphone on Streets of Tarkov
Extract from Streets of Tarkov through Primorsky Ave Taxi V-Ex
Hand over the smartphone","+12,000 EXP
Therapist Rep +0.01
100,000 Roubles
2× Grizzly medical kit
2× Surv12 field surgical kit
Unlocks barter for Propital regenerative stimulant injector at Therapist LL2",No
Skier,,,,
Quest,Type,,,Objectives
Burning Rubber,Completion,Use the paid vehicle extraction on Ground Zero,"+1,900 EXP
Skier Rep +0.01
12,000 Roubles
1× OPSMEN Earmor M32 headset",No
Supplier,PickUp,"Hand over 1 found in raid Module-3M armor to Skier
Hand over 1 found in raid TOZ-106 shotgun to Skier","+3,300 EXP
Skier Rep +0.05
60,000 Roubles
1× Saiga-9 9x19 carbine
Unlocks purchase of Saiga-9 9x19 carbine at Skier LL1
Unlocks purchase of 7.62x54mm R SP BT at Skier LL1",Yes
The Extortionist,PickUp,"Obtain the hidden valuable cargo on Customs
(Optional) Find the messenger's body
(Optional) Find the place where the messenger hid the cargo
Hand over the valuable cargo to Skier","+3,200 EXP
Skier Rep +0.04
500 Dollars
1× Molot VPO-209 .366 TKM carbine
3× AK 7.62x39 30-round magazine (issued '55 or later)
120× .366 TKM EKO
1x BNTI Zhuk body armor (Press)
Unlocks purchase of Remington Model 870 12ga pump-action shotgun at Skier LL1",Yes
Stirrup,Elimination,Eliminate 3 PMCs while using pistols,"+5,300 EXP
Skier Rep +0.05
Prapor Rep -0.05
Therapist Rep -0.02
70,000 Roubles
1× Camelbak Tri-Zip assault backpack
Unlocks purchase of Chiappa Rhino 50DS .357 revolver (variant Tactical) at Skier LL2",Yes
What’s on the Flash Drive?,PickUp,"Find 2 Secure flash drives in raid
Hand over 2 Secure flash drives to Skier","+4,500 EXP
Skier Rep +0.04
30,000 Roubles
1× Simonov OP-SKS 7.62x39 carbine (Hunting Rifle Version) (variant UAS)
2× SKS 7.62x39 ProMag SKS-A5 20-round magazine
1× SKS Hexagon 7.62x39 sound suppressor",Yes
Golden Swag,Completion,"Find the Golden Zibbo lighter
Stash the Golden Zibbo lighter in the bunkhouse in the trailer parking lot on Customs","+4,500 EXP
Skier Rep +0.04
17,000 Roubles
1× Soyuz-TM STM-9 Gen.2 9x19 carbine
2× Glock 9x19 ""Big Stick"" 33-round magazine 
120× 9x19mm Green Tracer
Unlocks purchase of VOMZ Pilad P1x42 Weaver reflex sight at Skier LL2",Yes
Chemical - Part 1,PickUp,"Obtain information about the Deputy Chief's past life on Customs
(Optional) Locate the sleeping place of the former Deputy Chief of Security on Customs
Hand over the information to Skier
Obtain items that can help the investigation
Hand over the items to Skier","+4,800 EXP
Skier Rep +0.04
15,000 Roubles
1× MSA ACH TC-2002 MICH Series helmet",Yes
Chemical - Part 2,PickUp,"Find any evidence on Customs that could help with the investigation
Hand over the evidence to Skier
Find any information on Customs that could help with the investigation
Hand over the info to Skier","+4,800 EXP
Skier Rep +0.04
15,000 Roubles
3× F-1 hand grenade
2× TP-200 TNT brick
Unlocks purchase of SOK-12 12/76 SAI-02 10-round magazine at Jaeger LL2",Yes
Chemical - Part 3,PickUp,"Obtain the chemical-filled syringe hidden in Factory
Hand over the chemical-filled syringe to Skier","+5,400 EXP
Skier Rep +0.04
Jaeger Rep -0.01
22,000 Roubles
1× BelOMO PSO-1M2-1 4x24 scope
4× ""Zarya"" stun grenade",Yes
Chemical - Part 4,PickUp,"Find the transport with the chemicals
Mark the chemical transport vehicle with an MS2000 Marker
Survive and extract from Customs","+6,500 EXP
Skier Rep +0.04
35,000 Roubles
1× Grenade case",No
Loyalty Buyout,Standing,"Hand over 1,000,000 RUB to Skier",Skier Rep +0.25,No
Vitamins - Part 1,PickUp,"Obtain the first Chemical container
Hand over the first Chemical container to Skier
Obtain the second Chemical container
Hand over the second Chemical container to Skier
Obtain the third Chemical container
Hand over the third Chemical container to Skier","+13,000 EXP
Skier Rep +0.05
Jaeger Rep -0.01
40,000 Roubles
3× Holosun HS401G5 reflex sight
2× Trijicon SRS-02 reflex sight",Yes
Vitamins - Part 2,PickUp,"Find 4 Respirators in raid
Hand over 4 Respirators to Skier
Find 3 Medical bloodsets in raid
Hand over 3 Medical bloodsets to Skier","+15,800 EXP
Skier Rep +0.05
40,000 Roubles
4× Morphine injector
1× Golden Star balm
Unlocks purchase of TDI KRISS Vector Gen.2 9x19 submachine gun at Skier LL3",Yes
Friend From the West - Part 1,Elimination,"Eliminate 7 USEC PMCs
Obtain 7 USEC PMC dogtags
Hand over 7 USEC PMC dogtags to Skier","+10,000 EXP
Skier Rep +0.06
700 Dollars
2× ADAR 2-15 5.56x45 carbine
60× 5.56x45mm M855A1
1× Roler Submariner gold wrist watch",Yes
Friend From the West - Part 2,Merchant,"Hand over 6,000 USD to Skier","+6,300 EXP
Skier Rep +0.05
Unlocks purchase of TDI KRISS Vector Gen.2 .45 ACP submachine gun at Skier LL3",Yes
Informed Means Armed,Completion,"Install a WI-FI Camera to watch the sawmill dock on Woods
Install a WI-FI Camera to watch the road to the port on Customs
Install a WI-FI Camera to watch the Kiba Arms store entrance on Interchange","+14,000 EXP
Skier Rep +0.05
45,000 Roubles
2× AKM/AK-74 FAB Defense UAS stock
4× AK CNC Warrior 5.56x45 muzzle device adapter
1× EOTech Vudu 1-6x24 30mm riflescope",Yes
Chumming,Completion,"Stash 3 Golden neck chains under the mattress next to BTR-82A in Generic Store on Interchange
Stash 3 Golden neck chains in the microwave on the 3rd floor of the dorm on Customs
Stash 3 Golden neck chains in the middle wooden cabin at the sawmill on Woods
Eliminate 5 PMC operatives in the time period of 22:00-10:00 on Interchange","+19,100 EXP
Skier Rep +0.05
65,000 Roubles
1× Roler Submariner gold wrist watch
2× GP coin",Yes
Silent Caliber,Elimination,"Eliminate 20 Scavs with using a suppressed 12 gauge shotgun
Eliminate 10 PMCs while using a suppressed 12 gauge shotgun","+18,000 EXP
Skier Rep +0.05
100,000 Roubles
1× MP-155 12ga semi-automatic shotgun (Ultima variant)
Unlocks craft for 12/70 flechette at Workbench level 3",Yes
Bullshit,Discovery,"Obtain the False flash drive from the specified spot on Customs
Stash the False flash drive in the trash opposite of the stairs on the 3rd floor of the dorm
Stash 1 SV-98 sniper rifle in the trash opposite of the stairs on the 3rd floor of the dorm
Stash 1 Roler Submariner gold wrist watch in the trash opposite of the stairs on the 3rd floor of the dorm
You must not kill any Scavs on Customs until the quest is completed","+29,900 EXP
Skier Rep +0.07
Fence Rep +0.05
120,000 Roubles
1,000 Dollars
Unlocks barter for 12/70 RIP ammo pack (5 pcs) at Skier LL2
Unlocks purchase of CMMG Mk47 Mutant 7.62x39 assault rifle at Skier LL4
Unlocks barter for Kiba Arms Titan ballistic plate at Skier LL3",Yes
Setup,Elimination,Eliminate 15 PMC operatives while wearing the specified gear on Customs,"+21,900 EXP
Skier Rep +0.05
Fence Rep +0.05
150,000 Roubles
1× Kel-Tec RFB 7.62x51 rifle
100× 12/70 AP-20 armor-piercing slug
Unlocks barter for 9x19mm RIP ammo pack (20 pcs) at Skier LL4",Yes
Flint,Skill,Reach the required Stress resistance skill level of 5,"+25,100 EXP
Skier Rep +0.05
150,000 Roubles
3× Bottle of Tarkovskaya vodka
5× Bottle of Pevko Light beer
Unlocks barter for Miller Bros. Blades M-2 Tactical Sword at Skier LL4",Yes
Lend-Lease - Part 1,PickUp,"Obtain the first Motor Controller on Woods
Hand over the first controller to Skier
Obtain the second Motor Controller on Shoreline
Hand over the second Motor Controller|controller to Skier
Obtain the third Motor Controller on Shoreline
Hand over the third controller to Skier
Obtain the first Single-axis Fiber Optic Gyroscope on Woods
Hand over the first Single-axis Fiber Optic Gyroscope to Skier
Obtain the second Single-axis Fiber Optic Gyroscope on Shoreline
Hand over the second Single-axis Fiber Optic Gyroscope to Skier","+17,500 EXP
Skier Rep +0.05
3,000 Dollars
1× Armasight N-15 Night Vision Goggles
Unlocks purchase of ORSIS T-5000M 7.62x51 bolt-action sniper rifle at Skier LL3",Yes
Kind of Sabotage,PickUp,Hand over Secure Folder 0052 to Skier,"+4,500 EXP
Skier Rep +0.04
180,000 Roubles",No
Rigged Game,Discovery,"Put an MS2000 Marker on the medical container at the Health Resort on Shoreline
Put an MS2000 Marker on the medical container by cottages on Shoreline
Put an MS2000 Marker on the medical container at the pier on Shoreline
Survive and extract from the location","+12,900 EXP
Skier Rep +0.05
150,000 Roubles
1× HK MP5 9x19 submachine gun (Navy 3 Round Burst) (variant SD)
3× HK MP5 9x19 30-round magazine
120× 9x19mm Luger CCI",Yes
Safe Corridor,Elimination,Eliminate 10 Scavs in the underground warehouse on Reserve,"+9,000 EXP
Skier Rep +0.04
35,000 Roubles
2× 5.45x39mm BP gs ammo pack (120 pcs)
2× Expeditionary fuel tank",Yes
Night Sweep,Pickup,"Find 12 unusual knives in raid
Hand over 12 knives to Skier","+107,000 EXP
+2 Shotguns skill levels
6,000 Dollars
Unlocks craft for XTG-12 antidote injector at Medstation level 2",No
Long Road,Elimination,Eliminate 15 Scavs along the main road on Lighthouse,"+15,300 EXP
Skier Rep +0.02
45,000 Roubles
Unlocks purchase of Lobaev Arms DVL-10 7.62x51 bolt-action sniper rifle (variant Urbana) at Skier LL3",Yes
Missing Cargo,Exploration,"Locate the crashed helicopter on Lighthouse
Find the informant's intelligence folder
Hand over the folder","+14,000 EXP
Skier Rep +0.03
68,000 Roubles
Unlocks purchase of Magpul MOE Carbine stock (Black) at Skier LL3
Unlocks purchase of AK Zenit RK-3 pistol grip at Skier LL3
Unlocks purchase of Magpul MOE Carbine rubber buttpad at Skier LL4",Yes
Top Secret,PickUp,"Locate the radar station commandant's office on Lighthouse
Obtain the military HDD with archived flight routes
Hand over the drive","11,700 EXP
Skier Rep +0.03
50,000 Roubles
1× Rifle Dynamics RD-704 7.62x39 assault rifle
2× AK 7.62x39 FAB Defense Ultimag 30R 30-round magazine
60× 7.62x39mm MAI AP",No
House Arrest - Part 1,Exploration,"Locate where the missing group was held captive on Streets of Tarkov
Survive and extract from the location","+28,800 EXP
Skier Rep +0.03
112,000 Roubles
1× Kel-Tec RFB 7.62x51 rifle",No
House Arrest - Part 2,Exploration,"Locate the improvised jail warden's apartment on Streets of Tarkov
Find out what happened to the warden
Survive and extract from the location","+29,200 EXP
Skier Rep +0.03
114,000 Roubles
1× TDI KRISS Vector Gen.2 9x19 submachine gun",No
Debtor,Exploration,"Find the debtor on Streets of Tarkov
Survive and extract from the location","+26,600 EXP
Skier Rep +0.03
250,000 Roubles",No
Beyond the Red Meat - Part 1,Pickup,"Locate and obtain information on culinary secrets at the Beluga restaurant on Streets of Tarkov
Hand over the found data","+18,400 EXP
Skier Rep +0.02
80,000 Roubles
2× SAG AK-545 5.45x39 carbine
4× AK-74 5.45x39 6L23 30-round magazine (black)
6× 5.45x39mm BT gs ammo pack (30 pcs)
Unlocks purchase of AK CSS knurled charging handle at Skier LL3",No
Beyond the Red Meat - Part 2,Pickup,"Locate and obtain the secret ingredient at the TerraGroup office on Streets of Tarkov
Hand over the chemical additive","+21,300 EXP
Skier Rep +0.03
120,000 Roubles
1× SIG MCX .300 Blackout assault rifle
3× 5.56x45 Colt AR-15 STANAG 30-round magazine
120× .300 Blackout CBJ
Unlocks purchase of Zenit RK-1 tactical foregrip on B-25U mount at Skier LL4",No
Pyramid Scheme,Exploration,"Locate the first ATM on Nizhnaya Sadovaya Street on Streets of Tarkov
Locate the second ATM on Nizhnaya Sadovaya Street on Streets of Tarkov
Locate the ATM on Razvedchikov Street on Streets of Tarkov
Locate the first group of ATMs on Klimov Street on Streets of Tarkov
Locate the first ATM on Klimov Street on Streets of Tarkov
Locate the group of ATMs on Klimov Street on Streets of Tarkov
Locate the second ATM on Klimov Street on Streets of Tarkov
Locate the fourth group of ATMs on Klimov Street on Streets of Tarkov
Locate the fifth group of ATMs on Klimov Street on Streets of Tarkov
Locate the third ATM on Klimov Street on Streets of Tarkov
Locate the fourth ATM on Klimov Street on Streets of Tarkov
Locate the first ATM on Primorsky Ave on Streets of Tarkov
Locate the second ATM on Primorsky Ave on Streets of Tarkov
Locate the third ATM on Primorsky Ave on Streets of Tarkov
Locate the ATM at the expo on Streets of Tarkov","+25,500 EXP
Skier Rep +0.03
600,000 Roubles",No
No Swiping,Elimination,"Locate the smugglers' base on Shoreline
Eliminate any 25 enemies in the base area","+26,000 EXP
Skier Rep +0.04
280,000 Roubles
1× Propane tank (5L)
1× Car battery
1× Silicone tube
1× Alkaline cleaner for heat exchangers
1× Can of Majaica coffee beans",No
PeacekeeperNote: To get access to the Peacekeeper quests you need to complete the quest Friend From the West - Part 2 from Skier.,,,,
Quest,Type,,,Objectives
Fishing Gear,Completion,"Find the boat hidden next to the breakwater on Shoreline
Stash 1 sniper rifle in the boat
Stash 1 multitool in the boat
Survive and extract from the location","+4,800 EXP
Peacekeeper Rep +0.02
700 Dollars
1× UNTAR helmet
Unlocks purchase of SIG Sauer ROMEO4 reflex sight at Peacekeeper LL2
Unlocks barter for Springfield Armory M1A 7.62x51 rifle at Peacekeeper LL2",Yes
Tigr Safari,Discovery,"Mark the first Tigr vehicle with an MS2000 Marker on Customs
Mark the second Tigr vehicle with an MS2000 Marker on Customs
Mark the third Tigr vehicle with an MS2000 Marker on Customs
Survive and extract from the location","+5,900 EXP
Peacekeeper Rep +0.03
900 Dollars
1× Direct Action Thunderbolt compact chest rig
2× M67 hand grenade
Unlocks purchase of B&T MP9 9x19 submachine gun at Peacekeeper LL1",Yes
Scrap Metal,Discovery,"Mark the first T-90 tank with an MS2000 Marker on Shoreline
Mark the second T-90 tank with an MS2000 Marker on Shoreline
Mark the third T-90 tank with an MS2000 Marker on Shoreline
Survive and extract from the location","+5,900 EXP
Peacekeeper Rep +0.03
900 Dollars
1× HK MP5 9x19 submachine gun (Navy 3 Round Burst)
120× 9x19mm Pst gzh
Unlocks purchase of HK MP5 9x19 submachine gun (Navy 3 Round Burst) (variant SD) at Peacekeeper LL2
Unlocks purchase of 5.7x28mm SS197SR at Peacekeeper LL2",Yes
Eagle Eye,PickUp,"Find the first UAV crash site on Shoreline
Obtain the SAS disk from the first crashed drone
Hand over the first SAS disk  to Peacekeeper
Find the second UAV crash site on Shoreline
Obtain the SAS disk from the second crashed drone
Hand over the second SAS disk  to Peacekeeper","+6,600 EXP
Peacekeeper Rep +0.03
900 Dollars
1× ELCAN SpecterDR 1x/4x scope (FDE)
1× Leupold Mark 4 HAMR 4x24 DeltaPoint hybrid assault scope
Unlocks purchase of SIG MPX 9x19 submachine gun at Peacekeeper LL2",Yes
Humanitarian Supplies,Discovery,"Mark the first truck with an MS2000 Marker
(Optional) Find the first truck that was holding the lost UN cargo on Shoreline
Mark the second truck with an MS2000 Marker
(Optional) Find the second truck that was holding the lost UN cargo on Shoreline
Obtain 5 MRE ration packs
Hand over 5 MRE ration packs to Peacekeeper
Survive and extract from the location
Eliminate 10 Scavs on Shoreline while wearing a UN uniform (MF-UNTAR body armor and UN helmet)","+11,500 EXP
Peacekeeper Rep +0.03
800 Dollars
2× Weapon parts
Unlocks purchase of 5.56x45mm Warmageddon at Peacekeeper LL2
Unlocks purchase of AK-74 Hexagon 5.45x39 sound suppressor at Skier LL2",Yes
The Cult - Part 1,Exploration,"Find the missing informant on Shoreline
Survive and extract from the location","+6,200 EXP
Peacekeeper Rep +0.02
700 Dollars
3× Golden neck chain",Yes
The Cult - Part 2,Exploration,"Put the MS2000 Marker in the first ritual spot on Woods
Put the MS2000 Marker in the ritual spot on Customs
Put the MS2000 Marker in the second ritual spot on Woods
Put the MS2000 Marker in the ritual spot on Shoreline","+7,500 EXP
Peacekeeper Rep +0.03
850 Dollars
1× Knight's Armament Company SR-25 7.62x51 marksman rifle",Yes
Spa Tour - Part 1,Elimination,Headshot 7 Scavs on Shoreline while using a 12 gauge shotgun,"+7,400 EXP
Peacekeeper Rep +0.03
950 Dollars
1× SIG MPX 9x19 submachine gun (variant Silenced)
3× MPX 9x19 30-round magazine
90× 9x19mm RIP
1x Health Resort west wing room 306 key",Yes
Spa Tour - Part 2,Exploration,"Mark the helicopter on Shoreline with an MS2000 Marker
Mark the safe road on Shoreline with an MS2000 Marker
Survive and extract from the location","+6,300 EXP
Peacekeeper Rep +0.02
900 Dollars
1× Physical Bitcoin
Unlocks purchase of M67 hand grenade at Peacekeeper LL3",Yes
Spa Tour - Part 3,PickUp,"Find 1 WD-40 (100ml) in raid
Hand over 1 WD-40 (100ml) to Peacekeeper
Find 2 Clin window cleaners in raid
Hand over 2 Clin window cleaners to Peacekeeper
Find 2 Corrugated hoses in raid
Hand over 2 Corrugated hoses to Peacekeeper
Find 2 Ox bleaches in raid
Hand over 2 Ox bleaches to Peacekeeper","+7,600 EXP
Peacekeeper Rep +0.03
800 Dollars
1× TDI KRISS Vector Gen.2 9x19 submachine gun
5× M67 hand grenade
4× Glock 9x19 ""Big Stick"" 33-round magazine
2× Toolset",Yes
Spa Tour - Part 4,Discovery,"Locate the generators in the east wing of the Health Resort
Locate the generators in the west wing of the Health Resort
Survive and extract from the location","+7,700 EXP
Peacekeeper Rep +0.03
1,100 Dollars
1× Car battery",Yes
Spa Tour - Part 5,PickUp,"Obtain the key to the closed premises of the Sanatorium
Hand over the key to Peacekeeper","+6,500 EXP
Peacekeeper Rep +0.02
980 Dollars
1× RB-AO key",Yes
Spa Tour - Part 6,Standing,"Hand over 8,000 USD to Peacekeeper","+9,500 EXP
Peacekeeper Rep +0.04",Yes
Spa Tour - Part 7,PickUp,"Find 4 Morphine injectors in raid
Hand over 4 Morphine injectors to Peacekeeper
Find 2 Alkaline cleaners for heat exchangers in raid
Hand over 2 Alkaline cleaners for heat exchangers to Peacekeeper
Find 2 Corrugated hoses in raid
Hand over 2 Corrugated hoses to Peacekeeper
Find 2 5L propane tanks in raid
Hand over 2 5L propane tanks to Peacekeeper","+9,700 EXP
Peacekeeper Rep +0.04
Jaeger Rep -0.01
1× RB-ST key
Unlocks purchase of Crye Precision AirFrame helmet (Tan) at Peacekeeper LL4",Yes
Cargo X - Part 1,PickUp,"Obtain the data in the computer room in the east wing of the Health Resort
Hand over the retrieved data to Peacekeeper","+8,200 EXP
Peacekeeper Rep +0.03
700 Dollars
1× Pistol case
2× Colt M45A1 .45 ACP pistol
6× M1911A1 .45 ACP Wilson Combat 7-round magazine",Yes
Cargo X - Part 2,Exploration,"Locate the room with reservoirs in the Health Resort
Obtain any information about the second part of the cargo shipment
Hand over the retrieved information to Peacekeeper","+8,300 EXP
Peacekeeper Rep +0.03
850 Dollars
1× Colt M4A1 5.56x45 assault rifle
3× 5.56x45 Magpul PMAG 30 GEN M3 W STANAG 30-round magazine
Unlocks purchase of KAC QDSS NT-4 5.56x45 sound suppressor (Black) at Peacekeeper LL3",Yes
Cargo X - Part 3,Multi,"Find the hidden TerraGroup cargo on Shoreline
Survive and extract from the location","+8,400 EXP
Peacekeeper Rep +0.03
900 Dollars
1× HK MP7A1 4.6x30 submachine gun",Yes
Wet Job - Part 1,Elimination,"Eliminate 10 Scavs while using a suppressed M4A1, ADAR or TX-15 on Shoreline","+11,400 EXP
Peacekeeper Rep +0.04
1,100 Dollars
2× Secure magnetic tape cassette
Unlocks craft for .300 Blackout M62 Tracer at Workbench level ??",Yes
Wet Job - Part 2,Exploration,"Find the fishermen's dwelling on Shoreline
Mark the fishing table with an MS2000 Marker
Survive and extract from the location","+9,700 EXP
Peacekeeper Rep +0.03
1,300 Dollars
1× Eberlestock F5 Switchblade backpack (Dry Earth)
Unlocks barter for 5.56x45 Magpul PMAG D-60 STANAG 60-round magazine at Peacekeeper LL4
Unlocks purchase of MSA ACH TC-2001 MICH Series helmet at Peacekeeper LL2",Yes
Wet Job - Part 3,Exploration,"Find Artyom's car on Shoreline
Survive and extract from the location","+8,200 EXP
Peacekeeper Rep +0.03
1,500 Dollars
1× NcSTAR ADO P4 Sniper 3-9x42 riflescope
Unlocks purchase of HK 416A5 5.56x45 assault rifle at Peacekeeper LL3",Yes
Wet Job - Part 4,PickUp,"Obtain a list of the resort's tenants on Shoreline
Hand over the list of tenants to Peacekeeper","+8,300 EXP
Peacekeeper Rep +0.03
1,700 Dollars
1× Shoreline Health Resort plan map
Unlocks purchase of Desert Tech MDR 7.62x51 assault rifle at Peacekeeper LL4",Yes
Wet Job - Part 5,PickUp,"Obtain information on Artyom's work on Shoreline
Hand over the information to Peacekeeper","+8,400 EXP
Peacekeeper Rep +0.03
1,700 Dollars
1× HighCom Trooper TFO body armor (Multicam)
Unlocks purchase of Remington R11 RSASS 7.62x51 marksman rifle at Peacekeeper LL4
Unlocks purchase of AFAK tactical individual first aid kit at Peacekeeper LL4",Yes
Mentor,Completion,"Hand over 50,000 EUR to Peacekeeper",+3 Sniper Rifles skill levels,No
Wet Job - Part 6,Skill,Reach the required Sniper Rifles skill level of 7,"+8,500 EXP
Peacekeeper Rep +0.03
3,500 Dollars
1× Lobaev Arms DVL-10 7.62x51 bolt-action sniper rifle (variant Saboteur)
50× 7.62x51mm M61
Unlocks barter for FN40GL Mk2 40mm grenade launcher at Peacekeeper LL4",Yes
The Guide,Exploration,"Survive and extract from Woods with the ""Survived"" exit status
Survive and extract from Customs with the ""Survived"" exit status
Survive and extract from Interchange with the ""Survived"" exit status
Survive and extract from Shoreline with the ""Survived"" exit status
Survive and extract from Factory with the ""Survived"" exit status
Survive and extract from The Lab with the ""Survived"" exit status
Survive and extract from Reserve with the ""Survived"" exit status
Survive and extract from Lighthouse with the ""Survived"" exit status
Survive and extract from Streets of Tarkov with the ""Survived"" exit status","+42,600 EXP
Peacekeeper Rep +0.04
25,000 Dollars
1× EOTech HHS-1 hybrid sight (Tan)
1× Ops-Core SLAAP armor helmet plate (Tan)
3× AR-15 Vltor MUR-1S 5.56x45 upper receiver
Unlocks purchase of EOTech HHS-1 hybrid sight (Tan) at Peacekeeper LL4
Unlocks purchase of Ops-Core SLAAP armor helmet plate (Tan) at Peacekeeper LL4
Unlocks purchase of AR-15 Vltor MUR-1S 5.56x45 upper receiver at Peacekeeper LL4
Unlocks craft for 4.6x30mm AP SX at Workbench level 3",Yes
Samples,PickUp,"Find 1 M.U.L.E. stimulant injector in raid
Hand over 1 M.U.L.E. stimulant injector to Peacekeeper
Find 1 ""Obdolbos"" cocktail injector in raid
Hand over 1 ""Obdolbos"" cocktail injector to Peacekeeper
Find 1 Meldonin stimulant injector in raid
Hand over 1 Meldonin stimulant injector to Peacekeeper
Find 1 AHF1-M stimulant injector in raid
Hand over 1 AHF1-M stimulant injector to Peacekeeper
Find 1 P22 (Product 22) stimulant injector in raid
Hand over 1 P22 (Product 22) stimulant injector to Peacekeeper
Find 1 L1 (Norepinephrine) stimulant injector in raid
Hand over 1 L1 (Norepinephrine) stimulant injector to Peacekeeper
Find 1 3-(b-TG) stimulant injector in raid
Hand over 1 3-(b-TG) stimulant injector to Peacekeeper","+15,300 EXP
Peacekeeper Rep +0.04
4,000 Dollars
1× Ammunition case
1× DS Arms SA-58 7.62x51 assault rifle (variant BEL)
Unlocks purchase of Ops-Core FAST multi-hit ballistic face shield at Peacekeeper LL4
Unlocks purchase of Team Wendy EXFIL Ballistic Helmet (variant Black) at Peacekeeper LL4",Yes
TerraGroup Employee,PickUp,"Find Sanitar's workplace in the Lab
Obtain information about Sanitar's work
Hand over the Flash drive marked with blue tape to Peacekeeper","+17,000 EXP
Peacekeeper Rep +0.04
5,000 Dollars
4× Desert Tech MDR 7.62x51 assault rifle
3× AR-10 7.62x51 Magpul PMAG 20 SR-LR GEN M3 20-round magazine
80× 7.62x51mm M80
Unlocks purchase of Mesa Tactical Crosshair Hydraulic buffer tube at Peacekeeper LL4",Yes
Lend-Lease - Part 2,PickUp,"Find 2 Virtex programmable processors in raid
Find 1 Military COFDM Wireless Signal Transmitter in raid
Hand over 2 Virtex programmable processors to Peacekeeper
Hand over 1 Military COFDM Wireless Signal Transmitter to Peacekeeper","+21,000 EXP
Peacekeeper Rep +0.04
2,000 Dollars
2× HK 416A5 5.56x45 assault rifle
2× 5.56x45 Magpul PMAG D-60 STANAG 60-round magazine
2× 5.56x45 SureFire MAG5-60 STANAG 60-round magazine
300× 5.56x45mm M995",Yes
Peacekeeping Mission,Elimination,"Eliminate 12 Scavs on Woods while wearing a UN uniform (UN helmet, MF-UNTAR body armor, M4A1 rifle)
Eliminate 12 Scavs on Customs while wearing a UN uniform (UN helmet, MF-UNTAR body armor, M4A1 rifle)
Eliminate 12 Scavs on Interchange while wearing a UN uniform (UN helmet, MF-UNTAR body armor, M4A1 rifle)
Eliminate 12 Scavs on Shoreline while wearing a UN uniform (UN helmet, MF-UNTAR body armor, M4A1 rifle)
Eliminate 12 Scavs on Streets of Tarkov while wearing a UN uniform (UN helmet, MF-UNTAR body armor, M4A1 rifle)","+25,500 EXP
Peacekeeper Rep +0.04
1× Remington Model 700 7.62x51 bolt-action sniper rifle (variant AAC SD)
30× 7.62x51mm M61
2× GPNVG-18 Night Vision goggles
Unlocks barter for CQC Osprey MK4A plate carrier (Protection, MTP) at Peacekeeper LL4
Unlocks barter for Cult Locust ballistic plate at Skier LL4",Yes
Classified Technologies,Pickup,"Obtain the package with T-90M Commander control panel on Reserve
Hand over the package to Peacekeeper","+7,200 EXP
Peacekeeper Rep +0.02
800 Dollars
200× 5.7x28mm R37.F",Yes
Revision - Reserve,Discovery,"Locate and inspect the first BMP-2 on Reserve
Mark the first BMP-2 with an MS2000 Marker
Locate and inspect the second BMP-2 on Reserve
Mark the second BMP-2 with an MS2000 Marker
Locate and inspect the third BMP-2 on Reserve
Mark the third BMP-2 with an MS2000 Marker
Locate and inspect the fourth BMP-2 on Reserve
Mark the fourth BMP-2 with an MS2000 Marker
Locate and inspect the first LAV III on Reserve
Mark the first LAV III with an MS2000 Marker
Locate and inspect the second LAV III on Reserve
Locate and inspect the T-90 tank on Reserve","+7,300 EXP
Peacekeeper Rep +0.03
800 Dollars
15× 5.56x45mm Warmageddon ammo pack (20 pcs)",Yes
The Cleaner,Elimination,Eliminate 40 Scav Raiders on Reserve,"+84,000 EXP
+1 Designated Marksman Rifles skill level
+2 Submachine guns skill level
+2 Assault Rifles skill level
3,000 Euros",No
Special Equipment,PickUp,"Find 5 VPX Flash Storage Modules in raid
Find 5 UHF RFID Readers in raid
Find 5 Virtex programmable processors in raid
Find 5 Military COFDM Wireless Signal Transmitters in raid
Find 4 Military flash drives in raid
Handover 5 VPX Flash Storage Modules to Peacekeeper
Handover 5 UHF RFID Readers to Peacekeeper
Handover 5 Virtex programmable processors to Peacekeeper
Handover 5 Military COFDM Wireless Signal Transmitters to Peacekeeper
Handover 4 flash drives","+177,000 EXP
1× Weapon case
7× TerraGroup Labs access keycard
4× Iridium military thermal vision module",No
Cargo X - Part 4,Discovery,"Locate and mark the TerraGroup cargo with an MS2000 Marker on Lighthouse
Survive and extract from the location","+8,600 EXP
Peacekeeper Rep +0.02
800 Dollars
Unlocks purchase of Ops-Core FAST MT Super High Cut helmet (Urban Tan) at Peacekeeper LL4",Yes
Insomnia,Elimination,Eliminate 30 PMC operatives in the time period of 22:00-05:00 (Excluding Factory and  The Lab),"+18,200 EXP
Peacekeeper Rep +0.01
1,000 Dollars
2× GPNVG-18 Night Vision goggles
1× Ops-Core FAST MT Super High Cut helmet (Black)
2× Ops-Core FAST multi-hit ballistic face shield
Unlocks barter for SAPI level III+ ballistic plate at Peacekeeper LL4",Yes
Counteraction,Elimination,"Eliminate 20 BEAR PMC operatives all over the Lighthouse territory
Hand over 20 found in raid BEAR PMC dogtags","+22,000 EXP
Peacekeeper Rep +0.03
2,300 Dollars
1× SSD drive
1× Intelligence folder
1× Topographic survey maps
Unlocks purchase of 23x75mm Zvezda flashbang round at Skier LL4",No
